feature,importance
amount,0.0
log_amount,0.0
channel_risk,0.0
device_risk,0.0
is_new_device,0.0
is_new_geo,0.0
txn_count_1h,0.0
txn_count_24h,0.0
txn_amount_sum_1h,0.0
unique_merchants_1h,0.0
unique_devices_24h,0.0
unique_geos_24h,0.0
num_linked_accounts,0.0
geo_distance_score,0.0
high_amount_vs_turnover,0.0
amount_z,0.0
peer_amount_ratio,0.0
hour,0.0
dayofweek,0.0
is_weekend,0.0
merchant_risk,0.0
failed_logins_24h,0.0
new_payee_recent,0.0
shared_counterparty_risk,0.0
graph_degree,0.0
graph_neighbor_fraud_ratio,0.0
graph_pagerank,0.0
graph_community_fraud_ratio,0.0
